ID,y
1,82.740005
2,97.54829
3,82.63289
4,77.03879
5,112.80226
8,91.32228
10,100.25013
11,94.57021
12,117.10755
14,95.83677
15,115.740616
16,105.245476
17,100.93141
19,90.947556
20,100.83286
21,105.812035
22,117.99959
23,100.93141
26,96.41676
28,96.264305
29,100.93141
33,100.93141
35,94.33411
41,100.93141
42,94.58744
43,113.60288
45,102.46591
46,100.843666
51,94.50307
53,83.65805
55,109.19703
56,104.93059
57,109.821434
58,98.79369
59,103.879745
63,105.57764
64,94.36145
65,100.90612
69,97.48119
71,99.375435
72,104.76659
73,97.27076
76,104.73877
77,96.53401
78,116.137436
82,94.54433
83,100.90612
84,100.5698
85,106.83497
87,110.527824
88,100.93141
89,110.571785
91,97.731674
93,102.37335
94,104.0097
95,101.227135
96,111.20402
97,95.671455
98,109.62698
99,98.666405
101,105.91834
103,110.571785
104,93.719086
105,110.11899
110,96.95812
111,102.40152
113,105.65783
114,97.07259
115,111.958595
117,110.571785
120,95.65903
121,113.03167
122,94.13683
123,106.35881
126,108.42152
132,109.524704
135,111.73436
137,102.49516
138,94.82842
140,104.0797
142,109.0328
144,110.66021
148,91.7466
149,115.49098
155,103.34841
156,111.60442
157,95.671455
162,114.49359
163,95.82926
167,94.57824
172,113.60288
179,107.41962
180,94.59117
181,108.19799
182,97.23919
183,110.571785
185,110.571785
187,107.31184
188,92.949715
189,95.75723
191,93.35123
192,103.543655
193,93.76899
194,107.952545
195,94.2858
196,99.444084
198,109.5183
199,110.91004
201,100.60396
204,94.90981
205,106.32487
206,106.02403
210,96.57266
211,105.91834
216,111.84437
219,117.10755
220,92.631874
221,109.27606
226,108.19799
227,92.82095
228,110.20867
230,109.5172
231,95.671455
235,117.99959
236,98.80297
238,111.671646
242,104.05767
243,93.84823
244,80.27436
245,110.32651
247,118.73739
248,94.855415
249,91.70616
250,113.481
251,98.80297
253,117.99959
254,95.71053
256,95.31269
257,92.00188
258,109.15097
259,97.81178
262,91.99072
266,101.37433
267,113.05916
272,103.98097
273,110.571785
275,94.1303
276,109.06562
279,93.11343
280,100.90612
283,92.87458
285,109.98224
288,110.571785
289,109.00945
290,101.34644
291,94.706635
292,105.49754
293,106.08245
296,93.91262
297,105.167305
298,116.189224
299,94.161865
304,91.74585
305,88.14151
306,94.69705
307,109.239944
311,103.82059
313,109.13745
314,92.478424
316,109.31131
324,111.79046
327,98.762085
329,92.586815
330,109.77215
337,97.58265
338,95.061714
339,98.82735
340,93.669106
343,93.29448
345,115.740616
346,96.565254
347,112.49966
349,110.60994
350,95.01744
352,103.55188
353,92.30609
354,91.861404
357,95.87429
358,107.81798
362,108.14524
364,104.18441
365,101.5814
366,102.62182
367,106.861046
368,93.741295
370,81.0685
373,98.731064
377,93.49004
378,107.64545
382,104.73877
384,110.32017
390,96.80403
392,111.89993
393,112.52749
395,94.2212
396,96.77051
399,80.47347
406,109.13745
408,109.13745
409,95.30561
410,80.44416
412,112.630905
413,89.229416
419,100.19874
420,105.7332
421,89.76196
430,105.66603
434,93.480865
436,94.80026
437,102.27321
438,90.32221
439,110.7913
440,101.5652
443,101.52401
446,94.90981
448,93.53747
452,94.41346
453,108.49327
457,99.63412
458,94.84442
459,114.08501
460,104.01625
462,104.0552
464,100.8444
465,117.10755
467,112.563965
471,107.0101
472,77.07973
473,105.61996
475,95.75204
480,102.48504
488,105.94186
490,109.239944
491,104.69176
492,82.880486
493,98.10928
497,95.049255
498,107.820335
499,94.314705
500,100.83111
501,95.06617
502,112.36551
506,87.00141
510,107.8281
511,90.67232
512,93.3223
516,93.156746
518,97.594696
519,112.48221
521,92.075455
522,111.62201
526,114.44687
529,105.859055
532,111.6222
533,94.65979
536,111.7033
537,94.75727
539,95.07725
540,105.67138
541,97.072395
543,94.20376
546,109.789566
547,98.76779
548,91.19241
551,94.70607
552,107.55607
556,101.3575
557,101.084076
558,106.861046
559,94.183426
560,105.80866
562,105.29258
566,98.22767
570,107.820335
571,102.27321
572,100.90612
573,94.08289
575,117.10755
576,109.07163
577,95.56128
579,90.82689
580,112.53171
581,109.21617
589,109.239944
591,118.05098
593,95.2062
594,105.141525
595,94.90981
598,95.21226
602,106.632034
604,112.0296
606,107.78524
